txn_id,customer_id,date,txn_type,amount_inr,country,country_risk,customer_segment,industry,velocity_24h,is_round_number,shell_company_flag,pep_flag,sanctions_flag,multi_account_flag,risk_score,sar_label
TXN000001,CUST1012,2024-03-12,Cash Deposit,17069.89,Australia,Low,SME,Real Estate,1,0,0,0,0,0,15,0
TXN000002,CUST1456,2024-01-17,SWIFT,6585.36,India,Low,Retail,Finance,1,0,0,0,0,0,20,0
TXN000003,CUST1258,2024-11-28,Cash Deposit,21408.27,Australia,Low,Retail,Finance,5,0,0,0,0,0,30,0
TXN000004,CUST1229,2024-01-04,Crypto Exchange,79582.12,Japan,Low,SME,Retail Trade,2,0,0,0,0,0,15,0
TXN000005,CUST1174,2024-06-21,Cash Deposit,5703.13,India,Low,SME,Real Estate,1,0,0,0,0,0,20,0
TXN000006,CUST1183,2024-01-23,Cash Withdrawal,5703.27,Australia,Low,SME,Finance,4,0,0,0,0,0,20,0
TXN000007,CUST1498,2024-05-30,NEFT,86579.58,Japan,Low,HNI,IT Services,5,0,0,0,0,0,30,0
TXN000008,CUST1185,2024-01-24,Wire Transfer,25620.6,Australia,Low,Corporate,Healthcare,2,0,0,0,0,0,15,0
TXN000009,CUST1040,2024-07-13,Wire Transfer,4006.96,UK,Low,Corporate,Retail Trade,4,0,0,0,0,0,20,0
TXN000010,CUST1186,2024-04-17,Cash Withdrawal,18285.07,Australia,Low,Corporate,Import/Export,3,0,0,0,0,0,15,0
TXN000011,CUST1349,2024-03-28,RTGS,4043.53,Singapore,Low,Retail,Finance,2,0,0,0,0,0,20,0
TXN000012,CUST1194,2024-10-12,RTGS,6283.23,India,Low,SME,Healthcare,12,0,0,0,0,1,50,1
TXN000013,CUST1290,2024-09-12,RTGS,4029.53,Germany,Low,SME,Real Estate,4,0,0,0,0,0,20,0
TXN000014,CUST1071,2024-10-02,NEFT,7714.64,Germany,Low,Corporate,Healthcare,16,0,1,0,0,1,70,1
TXN000015,CUST1056,2024-12-14,Cash Deposit,78587.47,Syria,High,Corporate,Healthcare,13,0,0,0,1,0,90,1
TXN000016,CUST1274,2024-06-23,RTGS,11648.62,India,Low,SME,Retail Trade,3,0,0,0,0,0,15,0
TXN000017,CUST1232,2024-05-14,RTGS,459.47,Singapore,Low,Retail,Healthcare,2,0,0,0,0,0,0,0
TXN000018,CUST1054,2024-09-16,RTGS,609.49,Singapore,Low,SME,Retail Trade,2,0,0,0,0,0,0,0
TXN000019,CUST1390,2024-09-28,Crypto Exchange,319525.06,Iran,High,Corporate,Finance,16,0,0,0,0,1,80,1
TXN000020,CUST1484,2024-09-05,RTGS,3486.2,Japan,Low,Retail,IT Services,1,0,0,0,0,0,0,0
TXN000021,CUST1272,2024-08-31,RTGS,1773.58,Singapore,Low,Corporate,Real Estate,2,0,0,0,0,0,0,0
TXN000022,CUST1446,2024-12-19,NEFT,12982.67,USA,Low,HNI,Real Estate,3,0,0,0,0,0,15,0
TXN000023,CUST1343,2024-08-19,NEFT,2075.51,India,Low,SME,Hospitality,2,0,0,0,0,0,0,0
TXN000024,CUST1173,2024-04-27,NEFT,974.13,Singapore,Low,Retail,Finance,2,0,0,0,0,0,0,0
TXN000025,CUST1362,2024-01-17,Wire Transfer,81885.81,Somalia,High,Retail,Real Estate,20,0,1,1,0,0,100,1
TXN000026,CUST1401,2024-04-07,SWIFT,73018.87,India,Low,HNI,Retail Trade,1,0,0,0,0,0,15,0
TXN000027,CUST1181,2024-01-28,SWIFT,5775.24,Australia,Low,HNI,Hospitality,1,0,0,0,0,0,20,0
TXN000028,CUST1372,2024-02-25,Crypto Exchange,5545.96,Syria,High,SME,Retail Trade,10,0,1,1,0,0,100,1
TXN000029,CUST1281,2024-10-03,RTGS,8966.87,Japan,Low,Retail,IT Services,1,0,0,0,0,0,20,0
TXN000030,CUST1474,2024-09-05,SWIFT,956.11,Germany,Low,Corporate,Real Estate,2,0,0,0,0,0,0,0
TXN000031,CUST1462,2024-01-02,SWIFT,3581.1,Germany,Low,Retail,Real Estate,3,0,0,0,0,0,0,0
TXN000032,CUST1401,2024-12-22,SWIFT,9569.96,Australia,Low,HNI,Import/Export,5,0,0,0,0,0,35,0
TXN000033,CUST1249,2024-04-21,Cash Withdrawal,1441.6,India,Low,Corporate,Real Estate,5,0,0,0,0,0,15,0
TXN000034,CUST1031,2024-10-26,Wire Transfer,14236.25,Germany,Low,SME,IT Services,5,0,0,0,0,0,30,0
TXN000035,CUST1271,2024-02-11,NEFT,3291.31,Japan,Low,Corporate,IT Services,2,0,0,0,0,0,0,0
TXN000036,CUST1034,2024-10-18,Wire Transfer,7769.26,Germany,Low,Corporate,Hospitality,15,0,0,1,0,1,70,1
TXN000037,CUST1343,2024-02-07,Cash Withdrawal,5231.53,India,Low,SME,Hospitality,4,0,0,0,0,0,20,0
TXN000038,CUST1288,2024-04-19,NEFT,3286.05,Singapore,Low,Retail,IT Services,3,0,0,0,0,0,0,0
TXN000039,CUST1178,2024-05-25,Cash Withdrawal,9084.76,Singapore,Low,Retail,Real Estate,5,0,0,0,0,1,50,1
TXN000040,CUST1135,2024-10-10,RTGS,130407.22,USA,Low,Retail,IT Services,3,0,0,0,0,0,15,0
TXN000041,CUST1107,2024-11-20,RTGS,7940.68,Japan,Low,SME,Real Estate,3,0,0,0,0,0,20,0
TXN000042,CUST1128,2024-08-04,RTGS,1658.11,Japan,Low,Retail,IT Services,3,0,0,0,0,0,0,0
TXN000043,CUST1170,2024-03-23,Cash Withdrawal,298256.19,Iran,High,Corporate,Healthcare,8,0,1,0,0,0,85,1
TXN000044,CUST1298,2024-01-22,Cash Deposit,27828.54,UK,Low,Corporate,Hospitality,3,0,0,0,0,0,15,0
TXN000045,CUST1407,2024-12-15,Cash Deposit,1298.2,USA,Low,Retail,Import/Export,1,0,0,0,0,0,0,0
TXN000046,CUST1286,2024-03-20,RTGS,11084.42,USA,Low,HNI,Finance,2,0,0,0,0,0,15,0
TXN000047,CUST1415,2024-04-01,Wire Transfer,428.59,Australia,Low,Corporate,Hospitality,3,0,0,0,0,0,0,0
TXN000048,CUST1210,2024-12-25,Cash Deposit,1105.13,India,Low,Corporate,Import/Export,4,0,0,0,0,0,0,0
TXN000049,CUST1439,2024-08-23,Cash Deposit,10886.64,UK,Low,HNI,Real Estate,3,0,0,0,0,0,15,0
TXN000050,CUST1446,2024-12-03,Wire Transfer,24531.17,USA,Low,Corporate,Real Estate,4,0,0,0,0,0,15,0
TXN000051,CUST1442,2024-06-28,Cash Withdrawal,10478.2,Australia,Low,Retail,Retail Trade,5,0,0,0,0,0,30,0
TXN000052,CUST1431,2024-05-13,Wire Transfer,6812.59,USA,Low,SME,IT Services,5,0,0,0,0,0,35,0
TXN000053,CUST1135,2024-08-10,NEFT,5158.21,UK,Low,Retail,IT Services,3,0,0,0,0,0,20,0
TXN000054,CUST1261,2024-04-07,NEFT,882.02,UK,Low,Retail,Hospitality,1,0,0,0,0,0,0,0
TXN000055,CUST1000,2024-02-05,SWIFT,2752.41,Australia,Low,Corporate,Import/Export,3,0,0,0,0,0,0,0
TXN000056,CUST1339,2024-09-16,Cash Withdrawal,4060.42,UK,Low,Retail,Healthcare,4,0,0,0,0,0,20,0
TXN000057,CUST1356,2024-04-08,Cash Deposit,39564.33,Germany,Low,SME,Finance,4,0,0,0,0,0,15,0
TXN000058,CUST1462,2024-06-03,NEFT,13567.43,Germany,Low,Corporate,Finance,5,0,0,0,0,0,30,0
TXN000059,CUST1155,2024-10-23,SWIFT,575.62,Singapore,Low,SME,Real Estate,3,0,0,0,0,0,0,0
TXN000060,CUST1226,2024-03-27,SWIFT,13175.65,Australia,Low,Corporate,Finance,1,0,0,0,0,0,15,0
TXN000061,CUST1339,2024-04-30,Crypto Exchange,4547.7,Australia,Low,SME,IT Services,3,0,0,0,0,0,20,0
TXN000062,CUST1101,2024-05-05,Wire Transfer,2935.45,Germany,Low,Corporate,IT Services,5,0,0,0,0,0,15,0
TXN000063,CUST1037,2024-10-21,RTGS,20282.51,USA,Low,HNI,Hospitality,4,0,0,0,0,0,15,0
TXN000064,CUST1124,2024-01-03,RTGS,38044.02,Japan,Low,Corporate,Healthcare,1,0,0,0,0,0,15,0
TXN000065,CUST1112,2024-09-22,RTGS,32758.58,Germany,Low,Corporate,Retail Trade,1,0,0,0,0,0,15,0
TXN000066,CUST1469,2024-08-25,Cash Deposit,2301.17,Australia,Low,Retail,Hospitality,5,0,0,0,0,0,15,0
TXN000067,CUST1304,2024-11-09,SWIFT,5095.85,Japan,Low,SME,Retail Trade,5,0,0,0,0,0,35,0
TXN000068,CUST1464,2024-08-31,RTGS,13318.31,Germany,Low,HNI,Real Estate,3,0,0,0,0,0,15,0
TXN000069,CUST1430,2024-09-23,Crypto Exchange,35007.5,Germany,Low,SME,Retail Trade,2,0,0,0,0,0,15,0
TXN000070,CUST1039,2024-06-20,Cash Withdrawal,3949.08,UK,Low,SME,Real Estate,5,0,0,0,0,0,15,0
TXN000071,CUST1077,2024-03-19,RTGS,78902.98,Yemen,High,Corporate,Hospitality,19,0,0,1,0,0,85,1
TXN000072,CUST1356,2024-10-21,Crypto Exchange,6133.44,Germany,Low,Retail,Retail Trade,4,0,0,0,0,0,20,0
TXN000073,CUST1180,2024-08-02,SWIFT,380585.33,USA,Low,SME,Retail Trade,20,0,1,0,1,1,90,1
TXN000074,CUST1207,2024-03-06,SWIFT,1541.48,Singapore,Low,Corporate,Retail Trade,5,0,0,0,0,0,15,0
TXN000075,CUST1201,2024-08-07,RTGS,7038.88,Syria,High,Retail,IT Services,15,0,1,0,0,0,90,1
TXN000076,CUST1425,2024-02-11,Crypto Exchange,1347.07,Germany,Low,HNI,Import/Export,1,0,0,0,0,0,0,0
TXN000077,CUST1026,2024-02-05,RTGS,27413.44,Japan,Low,SME,Real Estate,1,0,0,0,0,0,15,0
TXN000078,CUST1486,2024-01-11,Crypto Exchange,61967.17,Singapore,Low,Corporate,Real Estate,2,0,0,0,0,0,15,0
TXN000079,CUST1242,2024-08-26,Cash Deposit,7273.44,Australia,Low,Retail,Finance,3,0,0,0,0,0,20,0
