txn_id,customer_id,date,txn_type,amount_inr,country,country_risk,customer_segment,industry,velocity_24h,is_round_number,shell_company_flag,pep_flag,sanctions_flag,multi_account_flag,risk_score,sar_label,country_risk_enc,segment_enc,txn_type_enc,industry_enc,amount_log,structuring_flag,high_value_flag,combined_alert_score,ml_risk_score,ml_alert,risk_tier
TXN000001,CUST1012,2024-03-12,Cash Deposit,17069.89,Australia,Low,SME,Real Estate,1,0,0,0,0,0,15,0,1,3,0,5,9.745129952683582,0,0,0,0.2,0,Low
TXN000002,CUST1456,2024-01-17,SWIFT,6585.36,India,Low,Retail,Finance,1,0,0,0,0,0,20,0,1,2,5,0,8.792756122845406,1,0,0,3.4,0,Low
TXN000003,CUST1258,2024-11-28,Cash Deposit,21408.27,Australia,Low,Retail,Finance,5,0,0,0,0,0,30,0,1,2,0,0,9.971579284785719,0,0,0,1.1,0,Low
TXN000004,CUST1229,2024-01-04,Crypto Exchange,79582.12,Japan,Low,SME,Retail Trade,2,0,0,0,0,0,15,0,1,3,2,6,11.284557289043002,0,0,0,0.4,0,Low
TXN000005,CUST1174,2024-06-21,Cash Deposit,5703.13,India,Low,SME,Real Estate,1,0,0,0,0,0,20,0,1,3,0,5,8.648945752858264,1,0,0,5.3,0,Low
TXN000006,CUST1183,2024-01-23,Cash Withdrawal,5703.27,Australia,Low,SME,Finance,4,0,0,0,0,0,20,0,1,3,1,0,8.648970296177223,1,0,0,4.3,0,Low
TXN000007,CUST1498,2024-05-30,NEFT,86579.58,Japan,Low,HNI,IT Services,5,0,0,0,0,0,30,0,1,1,3,3,11.368830819980232,0,0,0,1.3,0,Low
TXN000008,CUST1185,2024-01-24,Wire Transfer,25620.6,Australia,Low,Corporate,Healthcare,2,0,0,0,0,0,15,0,1,0,6,1,10.151191024710721,0,0,0,0.2,0,Low
TXN000009,CUST1040,2024-07-13,Wire Transfer,4006.96,UK,Low,Corporate,Retail Trade,4,0,0,0,0,0,20,0,1,0,6,6,8.29603766267498,0,0,0,0.2,0,Low
TXN000010,CUST1186,2024-04-17,Cash Withdrawal,18285.07,Australia,Low,Corporate,Import/Export,3,0,0,0,0,0,15,0,1,0,1,4,9.813894846782231,0,0,0,0.2,0,Low
TXN000011,CUST1349,2024-03-28,RTGS,4043.53,Singapore,Low,Retail,Finance,2,0,0,0,0,0,20,0,1,2,4,0,8.305120629911027,0,0,0,0.2,0,Low
TXN000012,CUST1194,2024-10-12,RTGS,6283.23,India,Low,SME,Healthcare,12,0,0,0,0,1,50,1,1,3,4,1,8.745798599596867,1,0,1,99.7,1,High
TXN000013,CUST1290,2024-09-12,RTGS,4029.53,Germany,Low,SME,Real Estate,4,0,0,0,0,0,20,0,1,3,4,5,8.30165315994121,0,0,0,0.1,0,Low
TXN000014,CUST1071,2024-10-02,NEFT,7714.64,Germany,Low,Corporate,Healthcare,16,0,1,0,0,1,70,1,1,0,3,1,8.95100471663858,1,0,2,100.0,1,High
TXN000015,CUST1056,2024-12-14,Cash Deposit,78587.47,Syria,High,Corporate,Healthcare,13,0,0,0,1,0,90,1,0,0,0,1,11.271980275544998,0,0,1,100.0,1,High
TXN000016,CUST1274,2024-06-23,RTGS,11648.62,India,Low,SME,Retail Trade,3,0,0,0,0,0,15,0,1,3,4,6,9.363028840436117,0,0,0,0.1,0,Low
TXN000017,CUST1232,2024-05-14,RTGS,459.47,Singapore,Low,Retail,Healthcare,2,0,0,0,0,0,0,0,1,2,4,1,6.132247706993426,0,0,0,0.1,0,Low
TXN000018,CUST1054,2024-09-16,RTGS,609.49,Singapore,Low,SME,Retail Trade,2,0,0,0,0,0,0,0,1,3,4,6,6.4142619134002254,0,0,0,0.1,0,Low
TXN000019,CUST1390,2024-09-28,Crypto Exchange,319525.06,Iran,High,Corporate,Finance,16,0,0,0,0,1,80,1,0,0,2,0,12.674594114418714,0,1,1,100.0,1,High
TXN000020,CUST1484,2024-09-05,RTGS,3486.2,Japan,Low,Retail,IT Services,1,0,0,0,0,0,0,0,1,2,4,3,8.156854400924182,0,0,0,0.1,0,Low
TXN000021,CUST1272,2024-08-31,RTGS,1773.58,Singapore,Low,Corporate,Real Estate,2,0,0,0,0,0,0,0,1,0,4,5,7.481319054192344,0,0,0,0.1,0,Low
TXN000022,CUST1446,2024-12-19,NEFT,12982.67,USA,Low,HNI,Real Estate,3,0,0,0,0,0,15,0,1,1,3,5,9.47144769297495,0,0,0,0.1,0,Low
TXN000023,CUST1343,2024-08-19,NEFT,2075.51,India,Low,SME,Hospitality,2,0,0,0,0,0,0,0,1,3,3,2,7.638443878855023,0,0,0,0.1,0,Low
